TIME,European_Union,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,United Kingdom,Bosnia and Herzegovina,Montenegro,Moldova,North Macedonia,Georgia,Albania,Serbia,Türkiye,Ukraine,Kosovo*
2016-01,:,7916.00,4254.00,7276.00,3427.00,49434.00,1089.00,2553.00,4373.00,22668.00,55984.00,1080.00,22809.00,382.00,649.00,373.00,193.00,2790.00,59.00,10066.00,4840.00,13788.00,5617.00,5653.00,1232.00,2162.00,7109.00,16436.00,:,16247.00,30810.00,:,263.00,:,593.00,:,:,3634.00,22080.00,:,:
2016-02,:,7041.00,3366.00,6763.00,2773.00,46089.00,742.00,2454.00,3341.00,21729.00,51937.00,1230.00,21300.00,320.00,443.00,353.00,193.00,2508.00,44.00,9019.00,5421.00,12413.00,5511.00,4832.00,1229.00,2220.00,6141.00,15118.00,:,13977.00,25205.00,:,230.00,:,422.00,:,:,3562.00,19669.00,:,:
2016-03,:,7401.00,3264.00,7490.00,2542.00,46064.00,672.00,2504.00,3469.00,23109.00,52088.00,1323.00,22056.00,311.00,577.00,282.00,190.00,2532.00,43.00,9717.00,4970.00,12634.00,4995.00,5036.00,1349.00,2220.00,6246.00,14795.00,:,11220.00,29040.00,:,323.00,:,456.00,:,:,3711.00,20805.00,:,:
2016-04,:,6565.00,2670.00,6593.00,2386.00,41459.00,741.00,2329.00,3125.00,21736.00,42941.00,946.00,20536.00,296.00,594.00,276.00,186.00,2242.00,40.00,8641.00,5239.00,11799.00,4976.00,5065.00,1248.00,1785.00,5572.00,13190.00,:,11614.00,26486.00,:,285.00,:,361.00,:,:,3015.00,20086.00,:,:
2016-05,:,5837.00,2822.00,6430.00,1772.00,40153.00,612.00,2224.00,3258.00,20626.00,40256.00,894.00,21940.00,330.00,525.00,255.00,168.00,2338.00,37.00,7915.00,5669.00,11454.00,4776.00,4326.00,1326.00,1589.00,4756.00,11493.00,:,11220.00,24154.00,:,231.00,:,375.00,:,:,2932.00,20592.00,:,:
2016-06,:,5619.00,3161.00,5789.00,1459.00,40245.00,663.00,2173.00,4156.00,20615.00,39819.00,926.00,22438.00,422.00,414.00,318.00,144.00,2205.00,50.00,7715.00,6148.00,11558.00,4447.00,4803.00,1442.00,1588.00,4366.00,9101.00,:,10942.00,23790.00,:,163.00,:,349.00,:,:,2529.00,21562.00,:,:
2016-07,:,6302.00,3335.00,5727.00,1723.00,40199.00,834.00,2335.00,4862.00,22938.00,38385.00,836.00,25332.00,517.00,331.00,237.00,132.00,2606.00,76.00,7797.00,6245.00,11955.00,4607.00,5227.00,1466.00,2059.00,4409.00,9850.00,:,10271.00,23359.00,:,212.00,:,384.00,:,:,2569.00,22912.00,:,:
2016-08,:,6828.00,3357.00,5564.00,1971.00,40645.00,1006.00,2361.00,4508.00,22089.00,36032.00,872.00,22344.00,510.00,354.00,255.00,138.00,2298.00,81.00,7990.00,5760.00,11841.00,4499.00,4845.00,1337.00,2083.00,4568.00,10354.00,:,10305.00,23387.00,:,199.00,:,345.00,:,:,2832.00,24750.00,:,:
2016-09,:,5929.00,3197.00,5397.00,1663.00,42266.00,964.00,2331.00,3819.00,21227.00,36248.00,770.00,23751.00,420.00,267.00,297.00,140.00,2544.00,70.00,9335.00,4926.00,11913.00,4387.00,4370.00,1229.00,1893.00,4532.00,10850.00,:,10471.00,24602.00,:,223.00,:,382.00,:,:,2660.00,20174.00,:,:
2016-10,:,6029.00,3271.00,6367.00,2812.00,44421.00,1066.00,2429.00,4000.00,21824.00,39583.00,1058.00,23683.00,359.00,529.00,325.00,156.00,2546.00,66.00,10675.00,5283.00,13292.00,4187.00,4874.00,879.00,1857.00,5649.00,12107.00,:,11985.00,27125.00,:,250.00,:,444.00,:,:,2996.00,20907.00,:,:
2016-11,:,6623.00,3465.00,6834.00,3188.00,46788.00,1083.00,2559.00,4009.00,21771.00,45654.00,1284.00,24322.00,312.00,816.00,446.00,185.00,2360.00,50.00,10899.00,5524.00,13698.00,4662.00,5282.00,1316.00,2171.00,6335.00,13013.00,:,13064.00,29967.00,:,313.00,:,526.00,:,:,3147.00,21558.00,:,:
2016-12,:,7402.00,4119.00,7143.00,3207.00,46588.00,942.00,2581.00,5142.00,21906.00,51211.00,1131.00,25138.00,410.00,729.00,430.00,186.00,2523.00,60.00,10688.00,5838.00,14158.00,4914.00,5780.00,1379.00,2243.00,6336.00,14649.00,:,13999.00,30694.00,:,282.00,:,648.00,:,:,3314.00,23527.00,:,:
2017-01,271874.69,7566.33,4260.41,8078.93,3095.89,53509.48,1140.00,2766.73,5612.58,25249.01,57166.50,1216.11,27275.00,426.49,740.00,319.95,194.04,3029.17,77.69,11407.00,6290.28,14829.85,5420.04,5786.00,1319.52,2292.00,6586.00,16219.71,1636.57,15311.13,30771.14,1396.36,192.00,:,678.58,:,:,3359.72,24232.36,:,:
2017-02,234153.82,6778.84,3571.19,6951.17,3245.99,48064.47,991.00,2483.99,4220.69,20998.09,48016.61,1132.64,22282.00,358.53,601.00,314.01,195.46,2130.76,65.14,9969.00,4953.17,13159.56,5034.43,4947.00,1167.88,2075.00,5871.00,14575.23,1501.59,13156.17,27955.36,1249.31,261.00,:,554.84,:,:,3099.59,21812.38,:,:
2017-03,240956.72,7005.37,3589.18,7385.94,3122.70,50018.96,1039.00,2590.91,3657.94,21153.27,49794.82,1070.31,22024.00,339.01,949.00,333.49,205.28,2560.50,79.83,9838.00,5623.00,13072.95,5049.66,5302.00,1318.21,2257.00,6283.00,15293.41,1696.54,12811.99,27876.22,1344.11,273.00,:,403.20,:,:,2880.67,22913.37,:,:
2017-04,214638.93,5339.22,3106.83,7322.14,2750.68,45411.07,893.00,2297.94,3228.74,19292.51,42244.03,832.05,20902.00,302.03,742.00,311.09,194.03,2373.92,102.38,8666.00,5125.69,12181.38,4379.41,4663.00,1125.55,1860.00,5270.00,13722.25,1577.24,11537.85,24503.07,1058.43,136.00,:,365.18,:,:,2658.03,21619.63,:,:
2017-05,213950.18,5735.44,2879.10,6305.37,2045.06,45719.92,1018.00,2281.03,3648.80,20409.32,41221.11,728.48,22637.00,341.59,580.00,339.23,156.19,2389.42,89.33,8084.00,5623.20,12176.27,4604.85,4343.00,1274.67,1967.00,4925.00,12427.78,1613.18,11236.77,24689.38,922.42,67.00,:,337.76,:,:,2737.39,22503.49,:,:
2017-06,210253.95,6532.45,3022.44,5414.63,1847.71,44906.86,874.00,2258.70,4156.32,22086.89,37089.41,557.18,25284.00,397.44,363.00,311.03,144.30,2377.60,145.02,8215.00,5297.57,11843.54,4704.12,4428.00,1160.31,1893.00,4217.00,10726.46,1536.72,11067.75,23507.86,1155.91,93.00,:,312.26,:,:,2513.14,22148.72,:,:
2017-07,216325.51,7029.32,3381.24,5046.22,1514.53,43684.03,769.00,2351.68,5041.46,22809.94,38658.24,794.92,26496.00,558.25,362.00,253.34,139.77,2550.69,171.58,8432.00,5535.70,12232.32,5075.64,4530.00,1305.87,2067.00,4249.00,11285.78,1580.43,10624.14,23639.84,1219.89,174.00,:,395.11,:,:,2632.42,27308.67,:,:
2017-08,213172.65,6848.00,3449.90,6065.51,1628.66,45216.53,855.00,2286.68,5166.16,21696.57,36885.08,899.27,24416.00,509.33,396.00,280.29,166.59,2437.35,197.87,7207.00,6011.56,12292.01,5155.48,4433.00,1303.75,2072.00,4343.00,10954.07,1586.54,11111.61,23473.77,1195.14,172.00,:,420.03,:,:,2791.46,26978.56,:,:
2017-09,211088.61,6437.89,3061.82,6691.57,1728.49,45487.78,831.30,2359.96,3973.21,20321.97,38382.14,905.38,22738.00,450.50,533.00,318.03,175.69,2387.88,220.17,7711.00,6146.52,12280.02,4600.64,4318.00,1372.29,1995.00,4823.00,10837.36,1554.43,11358.32,24449.84,:,149.00,:,332.66,:,:,2744.33,23204.64,:,:
2017-10,225054.55,6697.18,3057.42,7143.86,2582.30,49750.61,960.10,2371.54,4047.64,21485.34,39321.12,867.85,22970.00,360.23,623.00,390.84,218.59,2732.60,180.40,9955.00,5698.78,13174.81,4113.00,4699.00,1247.76,1958.00,5668.00,12779.58,1629.07,12429.06,27095.30,:,180.00,:,394.90,:,:,2903.21,22762.86,13115.10,:
2017-11,240694.82,6730.61,3622.73,7629.06,2713.87,50832.17,980.00,2510.44,4266.91,22739.93,44811.24,1107.42,24192.00,327.05,728.00,354.94,186.61,2762.30,96.43,10963.00,5988.58,13352.88,4608.00,4863.00,1286.93,2245.00,6129.00,14666.74,1627.34,13742.89,30095.73,:,269.00,:,474.07,:,:,2623.24,23181.67,13947.10,:
2017-12,256573.06,7590.56,3722.36,7031.98,3182.31,52654.88,880.00,2674.55,4459.17,24326.47,53052.62,1433.20,23902.00,370.41,722.00,366.81,207.04,2926.05,144.80,11074.00,5881.45,13596.17,4853.00,5490.00,1376.98,2254.00,6546.00,15854.27,1698.89,14865.50,31095.54,:,369.00,:,557.13,:,:,3405.87,25425.99,14837.00,:
2018-01,258701.83,7023.60,3741.71,6972.49,3102.19,52211.03,1018.00,2695.52,4364.20,22903.29,57338.86,1435.05,22890.00,395.25,881.00,354.21,213.34,2754.73,112.08,10544.00,6456.74,13781.64,5181.00,5453.00,1356.29,2444.00,6877.00,16201.62,1706.48,15628.76,30535.98,1469.88,397.00,:,480.19,990.23,884.29,3695.27,25191.00,15183.30,:
2018-02,244413.32,6962.57,3522.50,6615.52,3127.72,48973.42,940.00,2414.76,3965.43,21859.41,54246.28,1353.12,21887.00,331.37,717.00,249.31,183.59,2493.90,152.49,10736.00,5675.93,12896.02,4638.00,5320.00,1228.94,2092.00,6614.00,15217.05,1547.85,14795.89,28344.35,1474.99,468.00,:,554.94,909.86,1054.97,3227.67,22535.65,14097.80,:
2018-03,256817.20,7141.56,3720.93,7883.43,3555.70,52652.14,1140.20,2607.21,4142.33,24330.06,53005.79,1557.74,23514.00,325.89,727.00,301.07,213.16,2325.99,114.54,10234.00,5384.92,13824.73,6013.00,5574.00,1425.78,2209.00,7121.00,15772.04,1699.84,14075.83,30318.29,1960.59,508.00,:,522.96,974.96,1291.47,3495.93,23454.05,15230.10,:
2018-04,216406.00,5481.30,2787.38,6229.58,2584.49,45216.36,994.50,2426.02,3302.72,20807.36,42907.15,1185.49,20740.00,315.50,820.00,317.49,212.12,2331.25,102.33,9302.00,5851.89,11659.89,4736.00,4608.00,1022.26,2012.00,5492.00,12960.95,1615.13,10546.76,26082.08,1351.83,339.00,:,343.00,1049.14,1174.18,3051.73,22620.60,11940.90,:
2018-05,212542.37,5289.70,2697.71,6592.86,1581.08,43240.49,712.54,2388.23,3763.51,20178.53,42859.89,923.64,22863.00,390.76,432.00,269.67,203.47,2063.76,159.11,8509.00,6166.20,11711.66,4255.00,4361.00,1331.24,1813.00,4933.00,12852.31,1665.84,10257.90,24227.67,1245.14,200.00,:,316.17,1143.96,1007.73,2744.60,22971.54,11613.60,:
2018-06,208792.10,5185.44,3232.28,6180.50,1461.95,43236.78,793.00,2308.15,4203.65,19833.32,40848.14,924.12,23833.00,428.93,303.00,197.49,169.43,2005.02,154.97,8310.00,5710.64,11926.42,4765.00,4428.00,1182.41,1645.00,4173.00,11352.47,1581.39,9681.21,22931.74,:,241.00,:,359.85,1195.53,533.95,2628.47,23024.39,11622.40,:
2018-07,218850.27,5506.12,3448.26,6160.84,1459.69,46251.61,817.00,2375.81,4726.46,21810.71,41340.70,934.49,26226.00,534.08,377.00,196.80,108.46,2699.14,210.99,8234.00,4902.89,12883.17,5058.00,4916.00,1254.85,1934.00,4510.00,9973.20,1626.66,9364.25,23752.16,:,261.00,:,366.52,1255.71,569.64,2663.15,28191.10,12164.40,:
2018-08,213793.77,5256.64,3608.19,6279.96,1633.22,46887.28,1062.00,2329.18,4922.22,22321.13,37330.56,1000.69,23975.00,519.67,450.00,237.27,138.45,2434.16,213.07,8415.00,4264.52,12791.11,4770.00,4902.00,1251.93,1996.00,4469.00,10335.54,1641.47,10544.30,23652.60,:,259.00,:,371.63,969.58,581.78,2530.77,26655.32,12122.60,:
2018-09,210055.34,4536.41,3252.85,6617.48,2161.12,44799.29,846.00,2221.97,4379.37,21045.76,38929.71,782.68,24076.00,454.43,381.00,287.36,152.90,2571.07,184.88,8050.37,4583.06,12254.57,4564.00,4407.00,1263.07,1735.00,4737.00,10781.00,1611.45,11197.75,23926.74,:,218.00,:,416.94,834.83,489.47,2420.65,24187.14,11639.80,:
